img1,img2,score,decision
86253.jpg,2639.jpg,0.9197263717651367,same
86253.jpg,78965.jpg,0.8978834748268127,same
86253.jpg,1328.jpg,0.9420650601387024,same
86253.jpg,76485.jpg,0.9149958491325378,same
86253.jpg,42435.jpg,0.9475789070129395,same
86253.jpg,33856.jpg,0.9011500477790833,same
86253.jpg,1761.jpg,0.9246200323104858,same
86253.jpg,60980.jpg,0.9365450143814087,same
86253.jpg,55905.jpg,0.9335528016090393,same
86253.jpg,31357.jpg,0.9440253376960754,same
86253.jpg,83702.jpg,0.9548057317733765,same
86253.jpg,80937.jpg,0.9371131658554077,same
86253.jpg,45594.jpg,0.8959483504295349,same
86253.jpg,7787.jpg,0.9353384971618652,same
86253.jpg,44262.jpg,0.9573850631713867,same
86253.jpg,56188.jpg,0.9362106919288635,same
86253.jpg,856.jpg,0.9283783435821533,same
86253.jpg,86249.jpg,0.9533450603485107,same
86253.jpg,3911.jpg,0.8730818629264832,same
2639.jpg,78965.jpg,0.8791120052337646,same
2639.jpg,1328.jpg,0.9584837555885315,same
2639.jpg,76485.jpg,0.890678346157074,same
2639.jpg,42435.jpg,0.9139379262924194,same
2639.jpg,33856.jpg,0.9037659764289856,same
2639.jpg,1761.jpg,0.9177542328834534,same
2639.jpg,60980.jpg,0.9350196719169617,same
2639.jpg,55905.jpg,0.9068246483802795,same
2639.jpg,31357.jpg,0.9405972957611084,same
2639.jpg,83702.jpg,0.9245139360427856,same
2639.jpg,80937.jpg,0.9433716535568237,same
2639.jpg,45594.jpg,0.9053886532783508,same
2639.jpg,7787.jpg,0.9166104793548584,same
2639.jpg,44262.jpg,0.921330988407135,same
2639.jpg,56188.jpg,0.9308062195777893,same
2639.jpg,856.jpg,0.9210218787193298,same
2639.jpg,86249.jpg,0.9317317605018616,same
2639.jpg,3911.jpg,0.8790431618690491,same
78965.jpg,1328.jpg,0.9111558794975281,same
78965.jpg,76485.jpg,0.939249575138092,same
78965.jpg,42435.jpg,0.9164419770240784,same
78965.jpg,33856.jpg,0.9393796920776367,same
78965.jpg,1761.jpg,0.9279845356941223,same
